idAccion,idProyecto,descripcionAccion,estadoRealizacion
1,1,"Realizar reunión semanal con el cliente para revisar avances y requisitos",1
2,1,"Documentar claramente los requisitos y obtener aprobación por escrito",0
3,2,"Implementar escalado automático de servidores para manejar picos de tráfico",0
4,3,"Asignar recursos adicionales al equipo de desarrollo para abordar las complicaciones técnicas",0
5,4,"Solicitar recursos adicionales para la fase de pruebas de usabilidad",0
6,6,"Revisar y optimizar la planificación de recursos para evitar retrasos",1
7,7,"Actualizar y enviar el diseño para aprobación del cliente",0
8,9,"Realizar auditoría de seguridad y aplicar medidas correctivas",0
9,5,"Optimizar el rendimiento del servidor para mejorar la experiencia del usuario",1
10,10,"Establecer reuniones regulares con el cliente para validar requisitos",0
11,8,"Implementar sistema de gestión de comunicaciones con el cliente",0
12,12,"Definir procesos claros de gestión de cambios para minimizar impactos",1
13,3,"Realizar pruebas exhaustivas de integración con sistemas externos",0
14,11,"Planificar y asegurar la disponibilidad de recursos clave en momentos críticos",0
15,4,"Obtener aprobaciones internas de todas las áreas involucradas antes de la siguiente fase",1
16,9,"Aplicar parches y actualizaciones de seguridad según las mejores prácticas",0
17,2,"Establecer comunicación proactiva con el cliente para gestionar expectativas",0
18,6,"Priorizar tareas y asignar recursos según la carga de trabajo del equipo",1
19,8,"Controlar y reportar regularmente el gasto real comparado con el presupuesto",0
20,7,"Enviar recordatorios regulares al cliente para obtener activos necesarios",0
21,5,"Coordinar con otros equipos de proyecto para optimizar la planificación de recursos",1
22,11,"Realizar sesiones de retroalimentación y motivación con el equipo",0
23,10,"Realizar pruebas de usabilidad y validar con usuarios finales",0
24,12,"Prever escenarios de falla y definir planes de contingencia",1
25,3,"Monitorear cambios regulatorios y ajustar el alcance según sea necesario",0
26,9,"Implementar arquitectura escalable para futuros crecimientos del sistema",0
27,1,"Realizar pruebas de carga y optimizar la arquitectura para mejorar rendimiento",1
28,4,"Buscar recursos técnicos especializados en el mercado o reasignar internamente",0
29,2,"Ejecutar pruebas de estrés adicionales para identificar y corregir errores críticos",0
30,7,"Mantener comunicación constante con el cliente para adaptar prioridades",1
